key,english,placeholders,where_it_appears
pub.khata.footer,"Read-only statement, updated live by {shop}. Questions? Contact the shop directly.",{shop},Shopkeeper: khata/[token]
pub.khata.linkInvalid,This khata link is invalid or has been replaced by the shop.,,Shopkeeper: khata/[token]
pub.khata.linkInvalidTitle,Link not valid,,Shopkeeper: khata/[token]
pub.khata.recent,Recent entries,,Shopkeeper: khata/[token]
pub.khata.titleOf,{name}’s khata,{name},Shopkeeper: khata/[token]
pub.pay.awaiting,Awaiting payment,,Shopkeeper: pay/[orderId]
pub.pay.notFound,Order not found,,Shopkeeper: pay/[orderId]
pub.pay.paidAt,Paid at {when},{when},Shopkeeper: pay/[orderId]
pub.pay.received,Payment received,,Shopkeeper: pay/[orderId]
pub.pay.refreshHint,"If you paid moments ago, please refresh in a few seconds.",,Shopkeeper: pay/[orderId]
rc.nav,Ref campaigns,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
set.addPhoto,Add photo,,Shopkeeper: settings
set.choosePhoto,Choose a photo,,Shopkeeper: settings
set.keySecret,Key Secret,,Shopkeeper: settings
set.photoLive,Live,,Shopkeeper: settings
set.photoPending,Pending review,,Shopkeeper: settings
set.photoRejected,Rejected,,Shopkeeper: settings
set.photoUploadedPending,Photo added. It will show on your storefront once our team approves it.,,Shopkeeper: settings
set.photosFull,You can add up to 3 photos. Remove one to add another.,,Shopkeeper: settings
set.pincode,Pincode,,Shopkeeper: settings
set.razorpayKeyId,Razorpay Key ID,,Shopkeeper: settings
set.removePhoto,Remove photo,,Shopkeeper: settings
set.shopPhotos,Storefront photos,,Shopkeeper: settings
set.shopPhotosDesc,Up to 3 photos shown at the top of your storefront. New photos are checked by our team before they go live.,,Shopkeeper: settings
set.village,Village,,Shopkeeper: settings
set.webhookSecret,Webhook Secret,,Shopkeeper: settings
sfaq.active,Show to customers,,Shopkeeper: settings
sfaq.add,Add FAQ,,Shopkeeper: settings
sfaq.answer,Answer,,Shopkeeper: settings
sfaq.answerPlaceholder,e.g. We are open 8am–9pm every day.,,Shopkeeper: settings
sfaq.empty,No FAQs yet. Add your first question and answer below.,,Shopkeeper: settings
sfaq.needBoth,Please write both a question and an answer.,,Shopkeeper: settings
sfaq.question,Question,,Shopkeeper: settings
sfaq.questionPlaceholder,e.g. What are your shop timings?,,Shopkeeper: settings
sfaq.subtitle,"Write answers to common questions for your customers — timings, delivery, returns, offers. These show on each customer’s account page.",,Shopkeeper: settings
sfaq.title,Store FAQ,,Shopkeeper: settings
share.captionCopied,Caption copied.,,Shopkeeper: dashboard
share.copyCaption,Copy caption,,Shopkeeper: dashboard
share.downloadBtn,Download,,Shopkeeper: dashboard
share.downloaded,Poster downloaded.,,Shopkeeper: dashboard
share.err,Could not make the poster on this device.,,Shopkeeper: dashboard
share.offerDefault,Visit our shop today!,,Shopkeeper: dashboard
share.offerLabel,Today's offer or message,,Shopkeeper: dashboard
share.offerPlaceholder,e.g. Fresh stock today! Special discount till evening.,,Shopkeeper: dashboard
share.preset1,Fresh stock today!,,Shopkeeper: dashboard
share.preset2,Special discount today,,Shopkeeper: dashboard
share.preset3,Free home delivery,,Shopkeeper: dashboard
share.scanCta,Scan to open our shop,,Shopkeeper: dashboard
share.shareBtn,Share,,Shopkeeper: dashboard
share.shared,Opening share…,,Shopkeeper: dashboard
share.subtitle,"Make a poster with your offer and store QR, then post it to WhatsApp Status, Instagram or Facebook.",,Shopkeeper: dashboard
share.title,Share your shop,,Shopkeeper: dashboard
snl.auto,Auto,,Shopkeeper: settings
snl.desc,Customers see your shop name in their own language. These are filled in automatically — edit any that need a fix.,,Shopkeeper: settings
snl.english,English name,,Shopkeeper: settings
snl.owner,Edited by you,,Shopkeeper: settings
snl.review,Needs review,,Shopkeeper: settings
snl.title,Shop name in other languages,,Shopkeeper: settings
stale.line,These figures were last updated {when}. They may have changed since.,{when},Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id]
stale.title,Shown from this phone,,Shopkeeper: catalog; Shopkeeper: customers; Shopkeeper: customers/[id]
sup.addItem,Add item,,Shopkeeper: suppliers/index
sup.brands,Brands,,Shopkeeper: suppliers/demand; Shopkeeper: suppliers/index
sup.cancelConfirm,Cancel this purchase order?,,Shopkeeper: suppliers/orders/[id]
sup.cancelled,This order was cancelled.,,Shopkeeper: suppliers/orders/[id]
sup.carries,Carries,,Shopkeeper: suppliers/index
sup.clearFilters,Clear filters,,Shopkeeper: suppliers/index
sup.empty,No suppliers found for your city yet.,,Shopkeeper: suppliers/index
sup.emptyHint,"Suppliers are matched to your shop’s city. Set your city in Settings, or check back soon.",,Shopkeeper: suppliers/index
sup.entriesFor,Entries — {name},{name},Shopkeeper: suppliers/ledger
sup.farmerBadge,🌾 Farmer,,Shopkeeper: suppliers/index
sup.filterEmpty,No suppliers match these filters.,,Shopkeeper: suppliers/index
sup.freshFilter,🌾 Fresh from farmers,,Shopkeeper: suppliers/index
sup.hideEntries,Hide entries,,Shopkeeper: suppliers/ledger
sup.itemName,Item name,,Shopkeeper: distributor/orders/[id]; Shopkeeper: suppliers/demand; Shopkeeper: suppliers/index
sup.itemsN,{n} item{s},{n} {s},Shopkeeper: suppliers/orders
sup.ledgerEmpty,You don’t owe any supplier right now.,,Shopkeeper: suppliers/ledger
sup.ledgerTitle,What I owe suppliers,,Shopkeeper: suppliers/ledger
sup.minOrder,Min order,,Shopkeeper: suppliers/index
sup.nav,Suppliers,,Shopkeeper: account; Shopkeeper: catalog; Shopkeeper: customers
sup.needItem,Add at least one item with a quantity.,,Shopkeeper: suppliers/index
sup.newPO,New purchase order,,Shopkeeper: suppliers/index
sup.noMinOrder,No minimum,,Shopkeeper: suppliers/index
sup.orderBack,Purchase orders,,Shopkeeper: suppliers/orders/[id]
sup.orderingFrom,Ordering from {name},{name},Shopkeeper: suppliers/index
sup.ordersEmpty,No purchase orders yet.,,Shopkeeper: suppliers/orders; Shopkeeper: suppliers/orders/[id]
sup.ordersTitle,My purchase orders,,Shopkeeper: suppliers/orders
sup.placedOn,Placed {when},{when},Shopkeeper: suppliers/orders
sup.poRef,PO,,Shopkeeper: suppliers/ledger
sup.priceNote,You send items and quantities; the supplier sets the prices.,,Shopkeeper: suppliers/index
sup.pricesPending,The supplier sets prices when they confirm this order.,,Shopkeeper: suppliers/orders/[id]
sup.qty,Qty,,Shopkeeper: distributor/orders/[id]; Shopkeeper: suppliers/demand; Shopkeeper: suppliers/index
sup.reorder,Reorder from this supplier,,Shopkeeper: suppliers/index
sup.searchCatalogue,Search my products…,,Shopkeeper: suppliers/index
sup.send,Send order,,Shopkeeper: suppliers/index
sup.sent,Order sent to {name}. They will price it and confirm.,{name},Shopkeeper: suppliers/index
sup.subtitle,Distributors serving your city. Reorder stock in a few taps.,,Shopkeeper: suppliers/index
